Subject,Model,Classification,Coef_Stimulus,Coef_TP,Omega,pValue
MH94,Transition Probability,0.75,0.40496400384639486,-3.2123449937822177,tpPredNextA1,0
MH96,Transition Probability,0.8012422360248447,2.1197480191989775,-4.2077166467413765,tpPredNextA1,0
MH98,Transition Probability,0.8654970760233918,5.4974409964361275,-0.5001302477594539,tpPredNextAInf,0.11009
MP94,Transition Probability,0.7926829268292683,0.922344895317273,-2.211681135799534,tpPredNextA3,0
MR95,Transition Probability,0.7267080745341615,2.523451915639288,-1.0424284550233682,tpPredNextA1,0.06759
MR96,Transition Probability,0.6832298136645962,1.2254128986241015,-1.035116845782254,tpPredNextA2,0.00361
MS96,Transition Probability,0.8048780487804879,1.5885531167395368,-2.203039545874734,tpPredNextA3,0
MT95,Transition Probability,0.6024844720496895,0.15021306417921507,-1.356079444430375,tpPredNextA1,0.00807
MU91,Transition Probability,0.6521739130434783,0.6012638365036558,-1.0369979276114243,tpPredNextA15,5e-5
"NA92",Transition Probability,0.7134146341463414,1.566048372164997,-1.1438607755570596,tpPredNextA3,2e-4
PJ95,Transition Probability,0.7865853658536586,0.7079737396551243,-1.4004219312845814,tpPredNextA4,0
QA92,Transition Probability,0.7378048780487805,2.0650240013918437,-1.7916766766202734,tpPredNextA1,0.00207
RG94,Transition Probability,0.7763975155279503,2.2146575959152544,-1.8416390315029854,tpPredNextA1,0.00129
RH01,Transition Probability,0.847953216374269,0.02376506470003356,-5.42048351471386,tpPredNextA1,0
RH90,Transition Probability,0.6449704142011834,0.899778591762176,0.6062244370174277,tpPredNextA1,0.24412
RH96,Transition Probability,0.631578947368421,0.16178320538690097,-1.3867765062993789,tpPredNextA20,0
RL97,Transition Probability,0.676829268292683,0.9640579137980537,-1.5283076007470253,tpPredNextA2,0
RP96,Transition Probability,0.7378048780487805,1.180955228277655,-3.076071646637743,tpPredNextA1,0
RP98,Transition Probability,0.8187134502923976,3.5809313803950715,-1.841934891739679,tpPredNextA2,8e-5
SP99,Transition Probability,0.8888888888888888,4.358084769407002,-0.8493652165904694,tpPredNextA9,0.02047
TF91,Transition Probability,0.8963414634146342,2.7471545852783166,-2.676243715076143,tpPredNextA2,0
TH98,Transition Probability,0.9181286549707602,5.079908755504361,-1.7258981010112486,tpPredNextA1,0.06013
UR65,Transition Probability,0.6463414634146342,1.149365315075512,-0.5855912050936463,tpPredNextAInf,0.0331
US95,Transition Probability,0.6211180124223602,-0.2351372596244686,-1.5828176980383737,tpPredNextA1,0.00229
US96,Transition Probability,0.6890243902439024,0.8918624713432255,-0.36906350363057927,tpPredNextAInf,0.06934
VK66,Transition Probability,0.7602339181286549,3.463074105114626,-0.9135289750975228,tpPredNextA15,0.0015
VP95,Transition Probability,0.7621951219512195,1.223803357024037,-0.990136972418651,tpPredNextA9,8.9e-4
VR65,Transition Probability,0.7543859649122807,2.3534669438030495,-0.9638854035159056,tpPredNextAInf,5e-4
XX88,Transition Probability,0.7810650887573964,1.9357218547092636,-3.6474417272081983,tpPredNextA1,1e-5
XY99,Transition Probability,0.7692307692307693,1.0458571850442093,-0.71596669880432,tpPredNextA1,0.2367
YY98,Transition Probability,0.5325443786982249,0.20993238473835552,-0.29441569885575064,tpPredNextA5,0.2348
YZ87,Transition Probability,0.863905325443787,0.9170872420830277,-0.24204975467865236,tpPredNextA3,0.60102
